# !SESSION 2016-09-22 14:47:21.066
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	null
| main | 2016-09-22 14:47:21.066 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| main | 2016-09-22 14:47:21.129 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 63 ms |
| main | 2016-09-22 14:47:21.129 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| main | 2016-09-22 14:47:21.144 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 15 ms |
| main | 2016-09-22 14:47:21.166 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| main | 2016-09-22 14:47:21.166 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 0 ms |
| main | 2016-09-22 14:47:21.181 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForEdit it 0ms |
| main | 2016-09-22 14:47:21.298 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForEdit it 16ms |
| main | 2016-09-22 14:47:21.364 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForEdit it 0ms |
| main | 2016-09-22 14:47:21.527 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForRead it 4ms |
| main | 2016-09-22 14:47:21.645 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| main | 2016-09-22 14:47:21.645 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 0 ms |
| Worker-39 | 2016-09-22 14:47:21.667 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Completed WidgetModel.getWidgetForEdit it 0ms |
| main | 2016-09-22 14:47:22.057 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| main | 2016-09-22 14:47:22.127 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 70 ms |
| main | 2016-09-22 14:47:22.411 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| main | 2016-09-22 14:47:22.484 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 73 ms |
| main | 2016-09-22 14:47:22.503 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| main | 2016-09-22 14:47:22.542 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 39 ms |
| Worker-39 | 2016-09-22 14:47:39.562 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Really updating the installed plugin list |
| Worker-39 | 2016-09-22 14:47:39.577 | org.eclipse.thym.core | /debug | org.eclipse.thym.core.HybridCore | trace | 182 | Updated plugin list in 15 ms |
